crossover_type,population_size,m,k,d,optimum,generations,evaluations,time,best_fitness,is_optimal
Uniform,60,2,5,0.8,2,68,4140,0.10756611824035645,1.2,False
Uniform,60,2,5,0.2,2,522,31380,0.6911942958831787,1.6,False
Uniform,60,2,5,0.8,2,27,1680,0.04405975341796875,1.15,False
Uniform,60,2,5,0.2,2,44,2700,0.07387542724609375,1.6,False
Uniform,60,2,5,0.8,2,23,1440,0.03936362266540527,1.15,False
Uniform,60,2,5,0.2,2,654,39300,0.8769474029541016,1.8,False
Uniform,60,2,5,0.8,2,655,39360,0.8971209526062012,1.15,False
Uniform,60,2,5,0.2,2,437,26280,0.5893394947052002,1.6,False
Uniform,60,2,5,0.8,2,275,16560,0.3968796730041504,1.15,False
Uniform,60,2,5,0.2,2,721,43320,0.9868693351745605,1.4000000000000001,False
Uniform,60,2,5,0.8,2,1065,63960,1.8962812423706055,1.2,False
Uniform,60,2,5,0.2,2,8,540,0.024530887603759766,1.6,False
Uniform,60,2,5,0.8,2,19,1200,0.06369423866271973,1.2,False
Uniform,60,2,5,0.2,2,16,1020,0.06832528114318848,1.6,False
Uniform,60,2,5,0.8,2,0,13,0.0004467964172363281,2,True
Uniform,60,2,5,0.2,2,116,7020,0.40298962593078613,1.6,False
Uniform,60,2,5,0.8,2,284,17100,0.9951877593994141,1.15,False
Uniform,60,2,5,0.2,2,9,600,0.03479266166687012,1.6,False
Uniform,60,2,5,0.8,2,51,3120,0.18481993675231934,1.15,False
Uniform,80,2,5,0.2,2,0,22,0.0016398429870605469,2,True
Uniform,80,2,5,0.8,2,1377,110240,5.002901792526245,1.2,False
Uniform,80,2,5,0.2,2,756,60560,1.8151068687438965,1.6,False
Uniform,80,2,5,0.8,2,2159,172800,5.001361846923828,1.2,False
Uniform,80,2,5,0.2,2,1499,120000,2.737697124481201,1.8,False
Uniform,80,2,5,0.8,2,5,505,0.014806747436523438,2,True
Uniform,80,2,5,0.2,2,2639,211200,5.000762939453125,1.8,False
Uniform,80,2,5,0.8,2,1987,159040,5.004088640213013,1.2,False
Uniform,80,2,5,0.2,2,0,83,0.013955116271972656,2,True
Uniform,80,2,5,0.8,2,0,12,0.0009775161743164062,2,True
Uniform,80,2,5,0.2,2,2016,161360,5.000900030136108,1.8,False
Uniform,80,2,5,0.8,2,0,129,0.002654552459716797,2,True
Uniform,80,2,5,0.2,2,15,1280,0.03711366653442383,1.6,False
Uniform,80,2,5,0.8,2,661,52960,1.5272672176361084,1.15,False
Uniform,80,2,5,0.2,2,0,158,0.0025916099548339844,2,True
Uniform,80,2,5,0.8,2,4,449,0.008724689483642578,2,True
Uniform,80,2,5,0.2,2,1849,148000,5.000900030136108,1.8,False
Uniform,80,2,5,0.8,2,1183,94720,3.9936017990112305,1.2,False
Uniform,80,2,5,0.2,2,23,1920,0.10407686233520508,1.6,False
Uniform,80,2,5,0.8,2,39,3200,0.13549089431762695,1.2,False
Uniform,100,2,5,0.2,2,1570,157100,5.000826120376587,1.8,False
Uniform,100,2,5,0.8,2,1853,185400,5.000325441360474,1.15,False
Uniform,100,2,5,0.2,2,2084,208500,5.0008344650268555,1.8,False
Uniform,100,2,5,0.8,2,1122,112300,2.473630666732788,1.2,False
Uniform,100,2,5,0.2,2,1981,198200,5.001437664031982,1.6,False
Uniform,100,2,5,0.8,2,0,35,0.0007197856903076172,2,True
Uniform,100,2,5,0.2,2,1888,188900,5.001550197601318,1.8,False
